gapy --target=gapuino_v3 --platform=board --work-dir=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS      run --exec-prepare --exec --binary=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS/test_mem  
TARGET create
GAP8 INIT TARGET
GAP8 examine target
Init jtag
Initialising GAP8 JTAG TAP
Loading binary through JTAG
565 0.000353 1601619.250000
566 0.000354 1600099.625000
567 0.000355 1598588.125000
568 0.000341 1665415.625000
569 0.000355 1602780.750000
570 0.000356 1600692.000000
571 0.000357 1599475.625000
572 0.000343 1665579.500000
573 0.000357 1603353.375000
574 0.000358 1601848.625000
575 0.000359 1600066.750000
576 0.000346 1666049.500000
577 0.000360 1604203.750000
578 0.000361 1602422.000000
579 0.000362 1600933.500000
580 0.000348 1666513.500000
581 0.000362 1605043.250000
582 0.000363 1603270.500000
583 0.000364 1601789.125000
584 0.000350 1666971.125000
585 0.000364 1605590.250000
586 0.000365 1604108.250000
587 0.000366 1602354.125000
588 0.000353 1667422.875000
589 0.000367 1606410.375000
590 0.000368 1604656.125000
591 0.000369 1603468.500000
592 0.000355 1667868.750000
593 0.000369 1607220.250000
594 0.000370 1605474.875000
595 0.000371 1604015.625000
596 0.000357 1668010.000000
597 0.000371 1607743.000000
598 0.000372 1606283.375000
599 0.000373 1604831.000000
600 0.000360 1668446.250000
601 0.000374 1608810.125000
602 0.000375 1607081.875000
603 0.000376 1605362.875000
604 0.000362 1668582.000000
605 0.000376 1609316.375000
606 0.000377 1607870.625000
607 0.000378 1606160.125000
608 0.000364 1669302.500000
609 0.000378 1610088.875000
610 0.000379 1608649.750000
611 0.000380 1606947.500000
612 0.000367 1669430.875000
613 0.000381 1610851.750000
614 0.000382 1609149.625000
615 0.000383 1607725.500000
616 0.000369 1669847.375000
617 0.000383 1611605.625000
618 0.000384 1609911.625000
619 0.000385 1608226.625000
620 0.000371 1670258.625000
621 0.000385 1612350.500000
622 0.000386 1610664.625000
623 0.000387 1608987.625000
624 0.000374 1670664.750000
625 0.000388 1612820.125000
626 0.000388 1611408.625000
627 0.000390 1609739.625000
628 0.000376 1670781.625000
629 0.000390 1613548.625000
630 0.000391 1611879.875000
631 0.000392 1610482.750000
632 0.000378 1671462.500000
633 0.000392 1614005.375000
634 0.000393 1612607.875000
635 0.000394 1611217.125000
636 0.000380 1671572.750000
637 0.000394 1614718.625000
638 0.000395 1613327.500000
639 0.000396 1611682.875000
640 0.000383 1671681.750000
641 0.000397 1615423.250000
642 0.000398 1613779.000000
643 0.000399 1612401.750000
644 0.000385 1672067.125000
645 0.000399 1616120.125000
646 0.000400 1614741.625000
647 0.000401 1613112.250000
648 0.000387 1672448.000000
649 0.000401 1616808.875000
650 0.000402 1615179.750000
651 0.000403 1613558.750000
652 0.000390 1672549.625000
653 0.000404 1617233.375000
654 0.000405 1615868.125000
655 0.000406 1614254.750000
656 0.000392 1672923.250000
657 0.000406 1617907.750000
658 0.000407 1616548.750000
659 0.000408 1614942.625000
660 0.000394 1673292.125000
661 0.000408 1618321.000000
662 0.000409 1617221.750000
663 0.000410 1615623.125000
664 0.000397 1673657.000000
665 0.000411 1618981.750000
666 0.000412 1617384.125000
667 0.000413 1616045.125000
668 0.000399 1674017.625000
669 0.000413 1619635.125000
670 0.000414 1618294.875000
671 0.000415 1616711.750000
672 0.000401 1674107.250000
673 0.000415 1620031.625000
674 0.000416 1618698.000000
675 0.000417 1617370.750000
676 0.000404 1674461.000000
677 0.000418 1620920.250000
678 0.000419 1619344.250000
679 0.000420 1618022.750000
680 0.000406 1674810.875000
681 0.000420 1621552.125000
682 0.000421 1619983.250000
683 0.000422 1618667.500000
684 0.000408 1675156.625000
685 0.000422 1621931.250000
686 0.000423 1620615.375000
687 0.000424 1619061.000000
688 0.000411 1675237.500000
689 0.000425 1622550.875000
690 0.000426 1621240.625000
691 0.000427 1619693.250000
692 0.000413 1675577.250000
693 0.000427 1623163.750000
694 0.000428 1621859.000000
695 0.000429 1620076.875000
696 0.000415 1676171.375000
697 0.000429 1623527.875000
698 0.000430 1622229.625000
699 0.000431 1620696.750000
700 0.000418 1676245.125000
701 0.000432 1624128.875000
702 0.000433 1622836.250000
703 0.000434 1621309.875000
704 0.000420 1676318.125000
705 0.000434 1624723.375000
706 0.000435 1623436.375000
707 0.000436 1622154.875000
708 0.000422 1676644.500000
709 0.000436 1625311.750000
710 0.000437 1624030.125000
711 0.000438 1622517.125000
712 0.000425 1676714.375000
713 0.000439 1625893.875000
714 0.000439 1624617.750000
715 0.000441 1623111.250000
716 0.000427 1677286.375000
717 0.000441 1626233.875000
718 0.000442 1624963.875000
719 0.000443 1623230.000000
720 0.000429 1677352.000000
721 0.000443 1626570.125000
722 0.000444 1625540.250000
723 0.000445 1624047.500000
724 0.000432 1677665.750000
725 0.000446 1627370.375000
726 0.000447 1625877.875000
727 0.000447 1624857.000000
728 0.000434 1677728.625000
729 0.000448 1627697.125000
730 0.000449 1626443.750000
731 0.000450 1625195.750000
732 0.000436 1678283.250000
733 0.000450 1628252.000000
734 0.000451 1626773.000000
735 0.000452 1625530.875000
736 0.000439 1678342.125000
737 0.000452 1628801.375000
738 0.000454 1627328.500000
739 0.000454 1626091.375000
740 0.000441 1678644.000000
741 0.000455 1629345.000000
742 0.000456 1628107.000000
743 0.000457 1626646.375000
744 0.000443 1679185.375000
745 0.000457 1629654.875000
746 0.000458 1628195.375000
747 0.000459 1627195.750000
748 0.000445 1679238.500000
749 0.000459 1630415.875000
750 0.000460 1628735.250000
751 0.000461 1627513.875000
752 0.000448 1679291.125000
753 0.000462 1630717.250000
754 0.000463 1629495.125000
755 0.000464 1628053.375000
756 0.000450 1679582.000000
757 0.000464 1631240.500000
758 0.000465 1629799.125000
759 0.000466 1628364.000000
760 0.000452 1679869.875000
761 0.000466 1631534.625000
762 0.000467 1630323.125000
763 0.000468 1629116.625000
764 0.000455 1680154.875000
765 0.000469 1632048.750000
766 0.000470 1630619.875000
767 0.000471 1629418.750000
768 0.000457 1680201.625000
769 0.000471 1632557.625000
770 0.000472 1631355.875000
771 0.000473 1629938.375000
772 0.000459 1680482.000000
773 0.000473 1633061.750000
774 0.000474 1631864.875000
775 0.000475 1630672.625000
776 0.000462 1680759.625000
777 0.000476 1633121.500000
778 0.000477 1632149.625000
779 0.000478 1630744.250000
780 0.000464 1681034.500000
781 0.000478 1634055.250000
782 0.000479 1632649.625000
783 0.000480 1631250.000000
784 0.000466 1680845.125000
785 0.000480 1634545.000000
786 0.000481 1632710.750000
787 0.000482 1631751.000000
788 0.000469 1681116.875000
789 0.000483 1635029.750000
790 0.000484 1633635.625000
791 0.000485 1632247.125000
792 0.000471 1681385.750000
793 0.000485 1635078.500000
794 0.000486 1634121.375000
795 0.000487 1632738.500000
796 0.000473 1681652.250000
797 0.000487 1635556.250000
798 0.000488 1634174.250000
799 0.000489 1633225.375000
800 0.000476 1681916.125000
801 0.000490 1636029.375000
802 0.000490 1635079.625000
803 0.000492 1633282.375000
804 0.000478 1682177.250000
805 0.000492 1636498.250000
806 0.000493 1635127.125000
807 0.000494 1634185.375000
808 0.000480 1682436.125000
809 0.000494 1636962.500000
810 0.000495 1635597.000000
811 0.000496 1634658.875000
812 0.000482 1683138.750000
813 0.000497 1637422.750000
814 0.000498 1636062.625000
815 0.000499 1634707.875000
816 0.000485 1682946.125000
817 0.000499 1637458.250000
818 0.000500 1636523.625000
819 0.000501 1635174.375000
820 0.000487 1683197.500000
821 0.000501 1638330.125000
822 0.000502 1636980.625000
823 0.000503 1635636.625000
824 0.000489 1683446.625000
825 0.000504 1638361.000000
826 0.000504 1637433.375000
827 0.000505 1636094.500000
828 0.000492 1683255.375000
829 0.000506 1638806.250000
830 0.000507 1637468.500000
831 0.000508 1636136.000000
832 0.000494 1683501.625000
833 0.000508 1639247.500000
834 0.000509 1637914.750000
835 0.000510 1636587.375000
836 0.000497 1683745.875000
837 0.000510 1639684.625000
838 0.000511 1638357.125000
839 0.000513 1637034.625000
840 0.000499 1683987.625000
841 0.000513 1640118.000000
842 0.000514 1638795.500000
843 0.000515 1637478.375000
844 0.000501 1684227.375000
845 0.000515 1640547.500000
846 0.000516 1639229.875000
847 0.000517 1638323.375000
848 0.000503 1684464.875000
849 0.000517 1640972.875000
850 0.000518 1639660.500000
851 0.000519 1638353.125000
852 0.000506 1684700.000000
853 0.000520 1641394.625000
854 0.000521 1640087.375000
855 0.000522 1638785.125000
856 0.000508 1684933.125000
857 0.000522 1641410.250000
858 0.000523 1640510.250000
859 0.000524 1639212.875000
860 0.000510 1684741.625000
861 0.000524 1642227.250000
862 0.000525 1640929.500000
863 0.000526 1639637.000000
864 0.000513 1684972.625000
865 0.000527 1642238.875000
866 0.000528 1641345.250000
867 0.000529 1639660.500000
868 0.000515 1685201.375000
869 0.000529 1642647.625000
870 0.000530 1641360.625000
871 0.000531 1640078.875000
872 0.000517 1685428.000000
873 0.000531 1642657.250000
874 0.000532 1641771.000000
875 0.000533 1640493.750000
876 0.000520 1685652.625000
877 0.000534 1643454.625000
878 0.000535 1642177.375000
879 0.000536 1640905.125000
880 0.000522 1685875.375000
881 0.000536 1643460.375000
882 0.000537 1642580.375000
883 0.000538 1641312.750000
884 0.000524 1686096.250000
885 0.000538 1643857.000000
886 0.000539 1642590.125000
887 0.000540 1641717.000000
888 0.000527 1686315.000000
889 0.000541 1644250.125000
890 0.000542 1643376.375000
891 0.000543 1641730.500000
892 0.000529 1686123.875000
893 0.000543 1644639.875000
